id,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,price_quote_price_per_night,minimum_nights,number_of_reviews,review_scores_rating,city
845368021859175245,41.8970059,12.4696575,Entire rental unit,Entire home/apt,5,1.0,2.0,187.5,187.5,5.0,60,4.98,Rome
845479412054658162,41.8603206,12.4447777,Entire rental unit,Entire home/apt,6,1.5,3.0,176.2,176.2,1.0,97,5.0,Rome
845532500936437003,41.90735,12.69173,Entire home,Entire home/apt,4,2.0,2.0,106.0,106.0,2.0,20,4.9,Rome
845557422952550391,41.8909967543303,12.514574223181343,Entire rental unit,Entire home/apt,4,1.0,1.0,274.0,274.0,1.0,24,4.88,Rome
845606862253127349,41.90901,12.41305,Entire rental unit,Entire home/apt,4,2.0,2.0,211.5,211.5,2.0,25,4.96,Rome
845620291595390817,41.88958,12.5248,Entire rental unit,Entire home/apt,3,2.0,1.0,182.0,182.0,1.0,38,5.0,Rome
845641330670066964,41.921669,12.4706173,Entire condo,Entire home/apt,2,1.0,1.0,194.0,194.0,1.0,62,4.92,Rome
845704346064982430,41.8962098,12.4721231,Entire rental unit,Entire home/apt,8,2.0,3.0,607.0,607.0,1.0,120,4.91,Rome
846108946448388649,41.887694,12.5018903,Entire condo,Entire home/apt,2,1.0,1.0,114.33,114.33,3.0,167,4.99,Rome
846164752797949294,41.8955572,12.4778969,Entire rental unit,Entire home/apt,6,2.0,2.0,483.06,483.06,2.0,116,4.91,Rome
846252961049777647,41.8780278,12.4724034,Entire condo,Entire home/apt,2,1.5,1.0,172.95,172.95,3.0,48,4.94,Rome
846257287900893001,41.87355,12.52093,Entire rental unit,Entire home/apt,4,1.0,1.0,160.0,160.0,2.0,14,4.93,Rome
846277191865880632,41.89714379999999,12.5116718,Entire rental unit,Entire home/apt,3,1.0,1.0,156.0,156.0,2.0,54,4.94,Rome
846280816435363322,41.93133620521456,12.53421343068846,Private room in rental unit,Private room,2,1.0,1.0,82.67,82.67,3.0,93,4.96,Rome
846317996358253428,41.87889,12.51205,Entire rental unit,Entire home/apt,3,1.0,1.0,134.35,134.35,1.0,34,4.5,Rome
846339006069169293,41.89624292932782,12.473115180336206,Entire rental unit,Entire home/apt,4,1.0,1.0,262.47,262.47,1.0,16,4.94,Rome
846391462079596101,41.8956521933338,12.450153219888536,Entire rental unit,Entire home/apt,2,1.0,1.0,95.0,95.0,2.0,14,4.86,Rome
846439108490270614,41.89624933197439,12.494127564132214,Entire rental unit,Entire home/apt,6,1.0,2.0,194.08,194.08,1.0,255,4.68,Rome
846441513382078199,41.88507013807995,12.539100898354713,Entire condo,Entire home/apt,4,1.0,2.0,388.0,388.0,1.0,123,4.86,Rome
846794802632810419,41.92294869445165,12.47083752435917,Entire condo,Entire home/apt,3,1.0,1.0,155.33,155.33,3.0,48,4.83,Rome
846865258056487908,41.89244619999999,12.4426599,Entire rental unit,Entire home/apt,2,1.0,1.0,120.33,120.33,1.0,38,4.42,Rome
846886728437767611,41.899574529731616,12.473551665606694,Entire rental unit,Entire home/apt,6,2.0,2.0,331.0,331.0,2.0,197,4.96,Rome
846900534521988056,41.89244619999999,12.4426599,Entire rental unit,Entire home/apt,4,1.0,1.0,155.0,155.0,1.0,8,4.5,Rome
846901486357178708,41.91693,12.49809,Entire rental unit,Entire home/apt,4,2.0,2.0,242.5,242.5,2.0,30,4.83,Rome
846963003254806501,41.9030816,12.4770786,Entire condo,Entire home/apt,4,2.0,1.0,307.0,307.0,1.0,200,4.83,Rome
846963207705404008,41.73602349999999,12.2684669,Entire condo,Entire home/apt,2,1.0,1.0,83.0,83.0,2.0,60,4.87,Rome
846975359519096838,41.8796,12.467494,Entire rental unit,Entire home/apt,2,1.0,1.0,193.0,193.0,1.0,78,4.97,Rome
847005546231066744,41.87844808940235,12.47202596137694,Entire condo,Entire home/apt,2,1.0,1.0,235.08,235.08,1.0,75,4.95,Rome
847098385096281219,41.8744325,12.4501969,Entire rental unit,Entire home/apt,5,2.0,2.0,155.0,155.0,2.0,14,4.36,Rome
847114910980303330,41.90681,12.54918,Entire rental unit,Entire home/apt,6,1.0,1.0,114.12,114.12,1.0,130,4.78,Rome
847132754364313206,41.856195,12.458323,Entire villa,Entire home/apt,4,1.0,1.0,783.0,783.0,2.0,106,5.0,Rome
847180045835344081,41.97771,12.52822,Entire condo,Entire home/apt,3,1.0,1.0,90.95,90.95,3.0,15,5.0,Rome
847215737965859248,41.8908975,12.4668381,Entire rental unit,Entire home/apt,4,1.0,1.0,183.5,183.5,2.0,126,4.83,Rome
847573816608722974,41.8900413,12.4699542,Entire home,Entire home/apt,2,1.0,1.0,131.0,131.0,1.0,46,4.76,Rome
847634612522201562,41.9063989,12.4433052,Entire rental unit,Entire home/apt,8,2.0,2.0,200.0,200.0,2.0,8,3.88,Rome
847725703599857034,41.9037424,12.4748562,Entire condo,Entire home/apt,2,1.0,1.0,114.69,114.69,2.0,72,4.47,Rome
847742948001213984,41.903260903703,12.488577116008,Entire rental unit,Entire home/apt,4,2.0,3.0,390.5,390.5,1.0,45,4.62,Rome
847771287533704214,41.8879755,12.4679612,Entire condo,Entire home/apt,4,2.0,2.0,274.0,274.0,2.0,65,4.89,Rome
847829586316588319,41.89512031114892,12.489571961357395,Entire rental unit,Entire home/apt,4,1.0,1.0,168.78,168.78,2.0,190,4.9,Rome
847840287070810566,41.8889771,12.4682211,Entire rental unit,Entire home/apt,4,1.0,1.0,161.45,161.45,2.0,87,4.89,Rome
848329961147173879,41.87497634409844,12.467932703666786,Entire condo,Entire home/apt,5,1.0,2.0,163.19,163.19,2.0,127,4.96,Rome
848399180115766499,41.8963201,12.4908874,Entire rental unit,Entire home/apt,4,1.0,1.0,226.0,226.0,1.0,91,4.48,Rome
848424028649831460,41.898905186401,12.435406300952778,Entire rental unit,Entire home/apt,2,1.0,1.0,143.0,143.0,1.0,54,4.83,Rome
848432795698546403,41.8874,12.5013,Entire rental unit,Entire home/apt,4,1.0,1.0,255.0,255.0,1.0,2,5.0,Rome
848445785201020818,41.87959995738069,12.467493899166584,Entire rental unit,Entire home/apt,4,1.0,1.0,216.5,216.5,2.0,165,4.95,Rome
848463406204673262,41.92935641240859,12.46835006480206,Entire rental unit,Entire home/apt,4,1.0,2.0,224.0,224.0,2.0,25,4.68,Rome
848478374089325734,41.931724564307935,12.520560026983633,Entire rental unit,Entire home/apt,4,1.0,1.0,189.75,189.75,4.0,13,4.92,Rome
848560748675541939,41.89706261200298,12.4722867736719,Entire vacation home,Entire home/apt,4,1.0,1.0,237.48,237.48,3.0,95,4.96,Rome
848600219685928127,41.895204,12.4715502,Entire condo,Entire home/apt,3,1.0,1.0,180.0,180.0,1.0,106,4.65,Rome
848607977031640559,41.88856469330743,12.477128513219029,Entire rental unit,Entire home/apt,4,1.0,1.0,213.38,213.38,2.0,160,4.94,Rome
849001028057037318,41.8821711034196,12.468337453901768,Entire rental unit,Entire home/apt,2,2.0,1.0,257.0,257.0,2.0,28,4.68,Rome
849074481364567420,41.90218,12.475126,Entire rental unit,Entire home/apt,5,2.0,2.0,224.0,224.0,1.0,9,4.33,Rome
849125435315858245,41.88691,12.50446,Entire rental unit,Entire home/apt,9,2.0,2.0,530.65,530.65,1.0,17,4.53,Rome
849240633073726340,41.93071090592358,12.468883028020343,Entire rental unit,Entire home/apt,4,1.0,1.0,149.0,149.0,1.0,31,4.77,Rome
849248265277349839,41.94294,12.4487563,Entire rental unit,Entire home/apt,2,1.0,1.0,66.19,66.19,1.0,42,4.83,Rome
849269609455838783,41.89770439999999,12.4902241,Entire rental unit,Entire home/apt,7,2.0,3.0,455.0,455.0,1.0,58,4.81,Rome
849336296381339027,41.8974472,12.4574515,Entire rental unit,Entire home/apt,4,1.0,1.0,126.0,126.0,2.0,128,4.5,Rome
849827391392997213,41.9086904341938,12.45911634283678,Entire rental unit,Entire home/apt,6,1.0,2.0,238.51,238.51,1.0,225,4.88,Rome
849873393193116477,41.87995126830438,12.458112709338224,Entire rental unit,Entire home/apt,2,1.0,1.0,142.11,142.11,3.0,101,4.98,Rome
